name,year,selling_price,seats,owner,transmission,torque,Present_Price,km_driven,seller_type,mileage,engine,max_power,fuel,name_encoded,seller_type_encoded,transmission_encoded,fuel_encoded
ritz,2014,3.35,,0,Manual,,5.59,27000,Dealer,,,,Petrol,2540,0,1,4
sx4,2013,4.75,,0,Manual,,9.54,43000,Dealer,,,,Diesel,2543,0,1,1
ciaz,2017,7.25,,0,Manual,,9.85,6900,Dealer,,,,Petrol,2519,0,1,4
wagon r,2011,2.85,,0,Manual,,4.15,5200,Dealer,,,,Petrol,2546,0,1,4
swift,2014,4.6,,0,Manual,,6.87,42450,Dealer,,,,Diesel,2542,0,1,1
vitara brezza,2018,9.25,,0,Manual,,9.83,2071,Dealer,,,,Diesel,2545,0,1,1
ciaz,2015,6.75,,0,Manual,,8.12,18796,Dealer,,,,Petrol,2519,0,1,4
s cross,2015,6.5,,0,Manual,,8.61,33429,Dealer,,,,Diesel,2541,0,1,1
ciaz,2016,8.75,,0,Manual,,8.89,20273,Dealer,,,,Diesel,2519,0,1,1
ciaz,2015,7.45,,0,Manual,,8.92,42367,Dealer,,,,Diesel,2519,0,1,1
alto 800,2017,2.85,,0,Manual,,3.6,2135,Dealer,,,,Petrol,2513,0,1,4
ciaz,2015,6.85,,0,Manual,,10.38,51000,Dealer,,,,Diesel,2519,0,1,1
ciaz,2015,7.5,,0,Automatic,,9.94,15000,Dealer,,,,Petrol,2519,0,0,4
ertiga,2015,6.1,,0,Manual,,7.71,26000,Dealer,,,,Petrol,2527,0,1,4
dzire,2009,2.25,,0,Manual,,7.21,77427,Dealer,,,,Petrol,2524,0,1,4
ertiga,2016,7.75,,0,Manual,,10.79,43000,Dealer,,,,Diesel,2527,0,1,1
ertiga,2015,7.25,,0,Manual,,10.79,41678,Dealer,,,,Diesel,2527,0,1,1
ertiga,2016,7.75,,0,Manual,,10.79,43000,Dealer,,,,Diesel,2527,0,1,1
wagon r,2015,3.25,,0,Manual,,5.09,35500,Dealer,,,,CNG,2546,0,1,0
sx4,2010,2.65,,0,Manual,,7.98,41442,Dealer,,,,Petrol,2543,0,1,4
alto k10,2016,2.85,,0,Manual,,3.95,25000,Dealer,,,,Petrol,2514,0,1,4
ignis,2017,4.9,,0,Manual,,5.71,2400,Dealer,,,,Petrol,2536,0,1,4
sx4,2011,4.4,,0,Automatic,,8.01,50000,Dealer,,,,Petrol,2543,0,0,4
alto k10,2014,2.5,,0,Manual,,3.46,45280,Dealer,,,,Petrol,2514,0,1,4
wagon r,2013,2.9,,0,Manual,,4.41,56879,Dealer,,,,Petrol,2546,0,1,4
swift,2011,3.0,,0,Manual,,4.99,20000,Dealer,,,,Petrol,2542,0,1,4
swift,2013,4.15,,0,Manual,,5.87,55138,Dealer,,,,Petrol,2542,0,1,4
swift,2017,6.0,,0,Manual,,6.49,16200,Individual,,,,Petrol,2542,1,1,4
alto k10,2010,1.95,,0,Manual,,3.95,44542,Dealer,,,,Petrol,2514,0,1,4
ciaz,2015,7.45,,0,Manual,,10.38,45000,Dealer,,,,Diesel,2519,0,1,1
ritz,2012,3.1,,0,Manual,,5.98,51439,Dealer,,,,Diesel,2540,0,1,1
ritz,2011,2.35,,0,Manual,,4.89,54200,Dealer,,,,Petrol,2540,0,1,4
swift,2014,4.95,,0,Manual,,7.49,39000,Dealer,,,,Diesel,2542,0,1,1
ertiga,2014,6.0,,0,Manual,,9.95,45000,Dealer,,,,Diesel,2527,0,1,1
dzire,2014,5.5,,0,Manual,,8.06,45000,Dealer,,,,Diesel,2524,0,1,1
sx4,2011,2.95,,0,Manual,,7.74,49998,Dealer,,,,CNG,2543,0,1,0
dzire,2015,4.65,,0,Manual,,7.2,48767,Dealer,,,,Petrol,2524,0,1,4
alto k10,2016,3.0,,0,Manual,,3.76,10079,Dealer,,,,Petrol,2514,0,1,4
sx4,2003,2.25,,0,Manual,,7.98,62000,Dealer,,,,Petrol,2543,0,1,4
baleno,2016,5.85,,0,Automatic,,7.87,24524,Dealer,,,,Petrol,2516,0,0,4
sx4,2008,1.95,,0,Manual,,7.15,58000,Dealer,,,,Petrol,2543,0,1,4
dzire,2014,5.5,,0,Manual,,8.06,45780,Dealer,,,,Diesel,2524,0,1,1
omni,2012,1.25,,0,Manual,,2.69,50000,Dealer,,,,Petrol,2539,0,1,4
ciaz,2014,7.5,,0,Automatic,,12.04,15000,Dealer,,,,Petrol,2519,0,0,4
ritz,2013,2.65,,0,Manual,,4.89,64532,Dealer,,,,Petrol,2540,0,1,4
wagon r,2006,1.05,,0,Manual,,4.15,65000,Dealer,,,,Petrol,2546,0,1,4
ertiga,2015,5.8,,0,Manual,,7.71,25870,Dealer,,,,Petrol,2527,0,1,4
ciaz,2017,7.75,,0,Automatic,,9.29,37000,Dealer,,,,Petrol,2519,0,0,4
fortuner,2012,14.9,,0,Automatic,,30.61,104707,Dealer,,,,Diesel,2532,0,0,1
fortuner,2015,23.0,,0,Automatic,,30.61,40000,Dealer,,,,Diesel,2532,0,0,1
innova,2017,18.0,,0,Automatic,,19.77,15000,Dealer,,,,Diesel,2537,0,0,1
fortuner,2013,16.0,,0,Automatic,,30.61,135000,Individual,,,,Diesel,2532,1,0,1
innova,2005,2.75,,0,Manual,,10.21,90000,Individual,,,,Petrol,2537,1,1,4
corolla altis,2009,3.6,,0,Automatic,,15.04,70000,Dealer,,,,Petrol,2522,0,0,4
corolla altis,2010,4.75,,0,Manual,,18.54,50000,Dealer,,,,Petrol,2522,0,1,4
etios g,2014,4.1,,1,Manual,,6.8,39485,Dealer,,,,Petrol,2529,0,1,4
fortuner,2014,19.99,,0,Automatic,,35.96,41000,Dealer,,,,Diesel,2532,0,0,1
corolla altis,2013,6.95,,0,Manual,,18.61,40001,Dealer,,,,Petrol,2522,0,1,4
etios cross,2015,4.5,,0,Manual,,7.7,40588,Dealer,,,,Petrol,2528,0,1,4
fortuner,2014,18.75,,0,Automatic,,35.96,78000,Dealer,,,,Diesel,2532,0,0,1
fortuner,2015,23.5,,0,Automatic,,35.96,47000,Dealer,,,,Diesel,2532,0,0,1
fortuner,2017,33.0,,0,Automatic,,36.23,6000,Dealer,,,,Diesel,2532,0,0,1
etios liva,2014,4.75,,0,Manual,,6.95,45000,Dealer,,,,Diesel,2531,0,1,1
innova,2017,19.75,,0,Automatic,,23.15,11000,Dealer,,,,Petrol,2537,0,0,4
fortuner,2010,9.25,,0,Manual,,20.45,59000,Dealer,,,,Diesel,2532,0,1,1
corolla altis,2011,4.35,,0,Manual,,13.74,88000,Dealer,,,,Petrol,2522,0,1,4
corolla altis,2016,14.25,,0,Manual,,20.91,12000,Dealer,,,,Petrol,2522,0,1,4
etios liva,2014,3.95,,0,Manual,,6.76,71000,Dealer,,,,Diesel,2531,0,1,1
corolla altis,2011,4.5,,0,Manual,,12.48,45000,Dealer,,,,Diesel,2522,0,1,1
