name_encoded,year,selling_price,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner
2540,2014,335000,27000,4,0,1,0
2543,2013,475000,43000,1,0,1,0
2519,2017,725000,6900,4,0,1,0
2546,2011,285000,5200,4,0,1,0
2542,2014,460000,42450,1,0,1,0
2545,2018,925000,2071,1,0,1,0
2519,2015,675000,18796,4,0,1,0
2541,2015,650000,33429,1,0,1,0
2519,2016,875000,20273,1,0,1,0
2519,2015,745000,42367,1,0,1,0
2513,2017,285000,2135,4,0,1,0
2519,2015,685000,51000,1,0,1,0
2519,2015,750000,15000,4,0,0,0
2527,2015,610000,26000,4,0,1,0
2524,2009,225000,77427,4,0,1,0
2527,2016,775000,43000,1,0,1,0
2527,2015,725000,41678,1,0,1,0
2546,2015,325000,35500,0,0,1,0
2543,2010,265000,41442,4,0,1,0
2514,2016,285000,25000,4,0,1,0
2536,2017,490000,2400,4,0,1,0
2543,2011,440000,50000,4,0,0,0
2514,2014,250000,45280,4,0,1,0
2546,2013,290000,56879,4,0,1,0
2542,2011,300000,20000,4,0,1,0
2542,2013,415000,55138,4,0,1,0
2542,2017,600000,16200,4,1,1,0
2514,2010,195000,44542,4,0,1,0
2519,2015,745000,45000,1,0,1,0
2540,2012,310000,51439,1,0,1,0
2540,2011,235000,54200,4,0,1,0
2542,2014,495000,39000,1,0,1,0
2527,2014,600000,45000,1,0,1,0
2524,2014,550000,45000,1,0,1,0
2543,2011,295000,49998,0,0,1,0
2524,2015,465000,48767,4,0,1,0
2514,2016,300000,10079,4,0,1,0
2543,2003,225000,62000,4,0,1,0
2516,2016,585000,24524,4,0,0,0
2543,2008,195000,58000,4,0,1,0
2524,2014,550000,45780,1,0,1,0
2539,2012,125000,50000,4,0,1,0
2519,2014,750000,15000,4,0,0,0
2540,2013,265000,64532,4,0,1,0
2546,2006,105000,65000,4,0,1,0
2527,2015,580000,25870,4,0,1,0
2519,2017,775000,37000,4,0,0,0
2532,2012,1490000,104707,1,0,0,0
2532,2015,2300000,40000,1,0,0,0
2537,2017,1800000,15000,1,0,0,0
2532,2013,1600000,135000,1,1,0,0
2537,2005,275000,90000,4,1,1,0
2522,2009,360000,70000,4,0,0,0
