selling_price,torque,max_power,km_driven
60000,59.0,37.0,70000
135000,84.0,67.0,50000
250000,72.0,53.64,46000
450000,200.0,98.6,141000
140000,62.0,46.3,125000
240000,124.0,99.6,60000
850000,151.0,121.3,25000
250000,124.0,99.6,100000
1650000,173.0,138.03,25000
60000,59.0,37.0,70000
135000,84.0,67.0,50000
600000,259.8,126.32,100000
250000,72.0,53.64,46000
450000,200.0,98.6,141000
140000,62.0,46.3,125000
550000,114.0,82.0,25000
240000,124.0,99.6,60000
850000,151.0,121.3,25000
250000,124.0,99.6,100000
1650000,173.0,138.03,25000
585000,130.0,91.1,24000
390000,172.5,73.8,33000
1964999,450.0,187.7,28000
1425000,400.0,170.0,59000
975000,200.0,88.5,4500
1190000,350.0,167.6,175900
930000,146.0,116.3,14500
525000,114.0,84.0,15000
1735000,400.0,187.74,50000
1300000,200.0,100.6,80000
229999,99.04,68.05,60000
1250000,550.0,241.4,78000
1050000,280.0,120.0,50000
560000,200.0,98.6,74000
290000,90.0,67.1,64000
275000,90.0,67.04,60000
411000,290.0,120.0,120000
150000,96.1,62.1,79000
500000,113.75,81.86,15000
100000,62.0,46.3,80000
725000,190.0,74.0,18500
401000,101.0,73.0,10200
750000,219.7,88.73,29000
465000,219.7,88.73,70000
675000,200.0,98.6,90000
300000,90.0,67.04,80000
240000,74.5,55.2,73300
525000,170.0,67.05,92000
151000,62.0,46.3,66764
140000,62.0,46.3,100000
280000,19.0,80.0,350000
350000,205.0,87.2,230000
300000,74.5,55.2,31000
500000,20.4,102.0,120000
925000,205.0,98.96,35000
200000,172.0,130.0,54000
248000,111.8,78.9,63000
450000,250.0,103.52,120000
80000,115.0,83.0,120000
650000,145.0,102.5,76000
450000,160.0,70.0,80000
495000,109.0,86.7,11958
371000,109.0,86.8,20000
1025000,151.0,121.3,9000
750000,330.0,140.0,70000
325000,195.0,62.1,62200
1470000,380.0,174.33,34000
350000,209.0,91.72,53000
210000,91.0,67.0,15000
210000,172.0,130.0,63500
4500000,300.0,194.4,9800
175000,145.0,104.68,29173
2500000,560.0,258.0,48000
628000,195.0,70.0,120000
600000,32.1,150.0,100000
750000,218.0,93.7,87000
750000,117.0,81.86,15000
315000,72.0,53.3,16000
600000,260.0,112.0,60000
100000,84.0,67.0,60000
250000,145.0,103.2,110000
350000,72.0,53.3,25000
780000,219.7,88.7,60000
434000,190.0,74.0,79350
555000,290.0,120.0,90000
165000,150.0,57.6,60000
95000,78.0,60.0,50000
550000,115.0,83.1,20000
100000,51.0,37.48,50000
500000,200.0,100.6,100000
800000,200.0,88.5,70000
840000,259.9,126.2,70000
490000,109.0,86.7,50000
125000,135.0,71.0,81000
1000000,327.0,147.9,3600
530000,112.0,86.8,14272
840000,205.0,98.96,49213
40000,59.0,37.0,40000
130000,90.3,62.0,80000
200000,74.5,55.2,70000
120000,135.0,71.0,70000
100000,59.0,37.0,30000
280000,74.5,55.2,3240
540000,114.7,81.83,5000
700000,114.7,81.83,10000
525000,200.0,88.5,100000
430000,219.7,88.73,80000
800000,200.0,88.5,35000
195000,240.0,100.0,140000
170000,74.5,55.2,60000
225000,72.0,53.3,25000
240000,90.0,67.05,120000
300000,172.5,73.74,175000
99000,90.3,62.0,100000
620000,145.0,117.3,36000
500000,200.0,98.6,30000
260000,109.0,86.8,70000
550000,113.0,81.8,60000
150000,140.0,70.0,155500
320000,108.0,79.4,40000
400000,190.0,74.0,100000
175000,62.0,46.3,80000
120000,108.0,79.4,90000
320000,248.0,108.45,90000
810000,113.0,81.8,15000
95000,59.0,37.0,100000
282000,78.0,58.3,40000
80000,59.0,37.0,60000
72000,51.0,37.5,25000
600000,114.7,81.83,25000
380000,90.0,67.05,22155
150000,62.0,46.3,60000
280000,11.4,80.0,110000
430000,170.0,108.5,30000
800000,195.0,70.0,15000
75000,789.0,58.0,100000
390000,101.0,73.0,24000
100000,13.1,100.0,120000
1500000,400.0,170.0,35000
175000,145.0,104.68,78380
434999,248.0,108.45,110000
170000,160.0,68.0,90000
190000,160.0,68.0,90000
250000,190.0,73.9,150000
229999,260.0,112.0,230000
140000,110.0,85.0,70000
280000,11.4,80.0,110000
150000,150.0,57.6,60000
650000,360.0,163.7,50000
210000,104.0,75.0,40000
2900000,400.0,190.0,40000
425000,172.5,73.74,20000
350000,102.0,70.0,43000
940000,250.0,108.6,2650
1000000,330.0,140.0,40000
450000,200.0,88.5,115962
385000,219.6,88.76,58000
2000000,400.0,167.62,15000
235000,74.5,55.2,54000
52000,62.0,46.3,120000
80000,57.0,32.8,90000
180000,305.0,123.7,120000
285000,200.0,88.8,80000
390000,114.0,82.0,90000
125000,62.0,46.3,80000
225000,145.0,104.68,60000
175000,99.04,68.05,139000
1075000,20.4,102.0,160000
300000,200.0,98.6,150000
700000,20.4,102.0,163000
90000,85.0,52.8,120000
120000,135.4,70.0,120000
220000,150.0,57.6,100000
300000,190.0,74.0,140000
180000,180.0,75.0,87000
170000,59.0,37.0,70000
