torque,max_power,km_driven,selling_price
240.0,100.0,82000,660000
77.0,58.2,60000,300000
470.0,197.0,20000,3200000
320.0,138.1,76400,459999
114.0,85.8,90000,190000
12.5,94.0,120000,55000
62.0,46.3,52000,100000
190.0,73.94,80000,245000
190.0,74.0,56000,246000
90.0,67.04,40000,320000
180.0,63.0,70000,170000
200.0,83.8,150000,375000
195.0,70.0,40000,630000
113.7,82.85,120000,300000
240.0,100.0,100000,650000
130.0,93.7,60000,500000
350.0,150.0,2000,2475000
259.8,126.32,50000,550000
95.0,75.0,14495,560000
74.5,55.2,80000,200000
240.0,100.0,25000,300000
72.0,53.3,30000,335000
91.0,67.0,25000,400000
400.0,190.0,8500,5500000
104.0,67.0,19000,329000
12.7,78.0,70000,220000
146.0,118.0,70000,311000
219.66,88.73,126000,500000
215.0,98.96,30000,725000
114.73,81.86,30528,470000
219.9,88.7,50000,550000
420.0,174.5,50000,3200000
59.0,37.0,80000,81000
200.0,100.6,90000,725000
115.0,83.1,52000,625000
330.0,140.0,24700,1000000
91.0,67.0,15000,210000
111.8,78.9,30000,300000
215.0,99.0,80000,377000
115.0,83.1,10000,500000
190.0,74.0,120000,580000
11.3,90.0,120000,85000
320.0,138.1,170000,350000
62.0,46.3,80000,175000
111.8,78.9,70000,220000
102.0,65.3,60000,70000
450.0,174.5,60000,3200000
200.0,88.5,40000,1000000
108.0,79.4,80000,130000
330.0,140.0,18000,900000
91.0,67.0,40000,450000
305.0,123.7,150000,170000
22.4,90.0,53000,500000
400.0,190.0,20000,3800000
160.0,68.0,100000,204999
114.0,83.81,20000,530000
360.0,171.5,30000,1800000
200.0,88.5,15000,810000
135.0,71.0,100000,125000
259.9,126.3,92500,530000
190.0,75.0,120000,111000
115.0,68.0,80000,200000
290.0,120.0,173000,479000
200.0,100.6,60000,1019999
145.0,103.2,160000,150000
190.0,74.02,127000,605000
12.7,78.0,140000,158000
180.0,73.9,120000,325000
219.7,88.8,50000,420000
195.0,62.1,70000,600000
190.0,74.0,120000,120000
101.0,73.0,76600,280000
112.0,86.8,50000,388000
59.0,37.0,60000,30000
330.0,141.0,170000,551000
205.0,87.2,230000,350000
205.0,98.96,30000,800000
190.0,73.94,80000,425000
90.0,67.1,90000,89000
173.0,138.1,100000,550000
200.0,88.5,50000,550000
305.0,123.7,25000,300000
290.0,120.0,120000,365000
113.0,81.8,5000,600000
190.0,74.0,38817,740000
113.0,81.8,5000,600000
121.0,77.0,110000,68000
190.0,74.02,110000,750000
113.75,81.86,19890,550000
190.24,73.97,56290,450000
14.9,103.2,52000,275000
90.0,67.1,60000,190000
90.0,67.05,40000,80000
113.7,82.85,49000,315000
190.0,74.0,40000,185000
250.0,83.83,80000,434999
330.0,140.0,90000,750000
140.0,88.7,30000,375000
172.0,130.0,125000,220000
400.0,190.0,7500,5400000
90.0,67.1,70000,145000
145.0,117.3,79011,635000
22.4,90.0,120000,450000
259.87,126.2,49000,1150000
12.5,68.0,198000,150000
90.0,67.04,19000,380000
74.5,55.2,57000,200000
190.0,74.0,50000,590000
213.0,157.7,68089,2000000
146.0,118.0,60000,409999
113.0,81.8,40000,550000
350.0,150.0,2000,2475000
215.0,98.96,48000,475000
259.9,126.2,60000,965000
13.5,70.0,102000,160000
145.0,117.3,66521,775000
320.0,138.03,118000,250000
190.0,74.0,91365,470000
160.0,70.0,90000,380000
360.0,171.5,94000,1825000
220.0,88.73,80000,650000
205.0,87.2,129000,780000
90.0,67.04,29000,350000
114.7,81.83,29000,520000
130.0,92.0,25000,100000
72.9,35.5,90000,75000
210.0,66.0,250000,100000
16.3,68.0,130000,320000
330.0,140.0,80000,590000
330.0,138.0,20000,1500000
69.0,47.3,50000,240000
90.0,67.04,50000,325000
200.0,88.8,70000,300000
59.0,37.0,56194,31000
173.0,138.0,35000,400000
110.0,88.7,30000,720000
150.0,57.6,70000,190000
180.0,73.9,134000,325000
219.7,88.7,133000,950000
135.0,69.0,30000,250000
200.0,84.8,61000,399000
190.0,74.0,66000,600000
151.0,75.0,256000,150000
430.0,177.0,9000,2625000
205.0,87.2,95000,420000
360.0,152.87,25000,1650000
94.14,68.05,70000,160000
250.0,103.5,140000,295000
160.0,64.1,218000,180000
320.0,147.94,110000,503000
113.0,81.8,15000,500000
113.0,81.8,17000,775000
240.0,108.5,67000,580000
470.0,197.0,12000,3250000
151.0,121.3,60000,1100000
187.0,82.0,79000,130000
72.0,53.3,38000,229999
200.0,88.5,80000,775000
200.0,83.8,69000,425000
110.0,74.0,58182,470000
90.0,67.05,20000,325000
