Time,X_Expected,Y_Expected,X_Actual,Y_Actual,VX,VY,Error_Distance
0,5,0,0.350176,-0.190466,0.00464982,-1.46584,4.65372
111,5.02453,-0.16131,0,0,0.445978,-1.42785,5.02712
213,5.08976,-0.302268,-0.00198852,-0.000977587,0.840489,-1.326,5.10065
326,5.20779,-0.442323,-0.00607843,-0.00437,1.25377,-1.14135,5.23223
438,5.36892,-0.556571,-0.0131013,-0.0137386,1.62709,-0.888749,5.40932
541,5.55187,-0.633669,-0.0153513,-0.0211586,1.92906,-0.601184,5.60082
655,5.78761,-0.681429,-0.0146362,-0.0352094,2.20767,-0.229379,5.83812
767,6.04653,-0.684441,-0.0140114,-0.0388594,2.41639,0.180814,6.09483
880,6.32742,-0.638912,-0.00892013,-0.0540875,2.55499,0.628392,6.36327
993,6.61963,-0.541484,-0.00276847,-0.0631164,2.61662,1.09745,6.63965
1116,6.94017,-0.3745,0.00914334,-0.0759769,2.59321,1.61719,6.93745
1229,7.22722,-0.164969,0.0199682,-0.0840397,2.48822,2.08884,7.20771
1340,7.49334,0.0917982,0.032323,-0.091892,2.30918,2.5336,7.46328
1453,7.73966,0.402222,0.0557262,-0.100058,2.05363,2.95504,7.70033
1565,7.95145,0.754557,0.0621188,-0.101406,1.73341,3.33001,7.93563
1676,8.12263,1.14232,0.078163,-0.103414,1.35791,3.64943,8.14035
1789,8.25115,1.57002,0.105853,-0.103246,0.925601,3.91217,8.31539
1902,8.32848,2.02344,0.131221,-0.0993399,0.453736,4.10445,8.46766
2014,8.35086,2.49006,0.142144,-0.096298,-0.0411163,4.21998,8.60653
2148,8.30349,3.05879,0.177465,-0.0806717,-0.651201,4.2553,8.7114
2251,8.21137,3.49473,0.184518,-0.0762396,-1.12043,4.20502,8.78534
2364,8.05532,3.96277,0.200038,-0.0650556,-1.62245,4.07343,8.82773
2477,7.8439,4.41151,0.223559,-0.0425458,-2.09857,3.86498,8.82657
2601,7.55255,4.87176,0.236084,-0.0258118,-2.57673,3.55412,8.80437
2713,7.24136,5.25037,0.250793,-0.00107603,-2.95691,3.20723,8.74333
2837,6.85124,5.62034,0.258935,0.0175439,-3.30878,2.76106,8.65158
2950,6.46189,5.90651,0.265921,0.0372154,-3.5576,2.30909,8.53455
3063,6.04864,6.1397,0.270029,0.0567598,-3.73164,1.82605,8.39015
3175,5.62403,6.31581,0.27155,0.0891149,-3.8264,1.3291,8.21102
3288,5.18944,6.43665,0.270676,0.108746,-3.84171,0.82245,8.01478
3400,4.76151,6.50024,0.265746,0.133375,-3.77759,0.328092,7.79415
3513,4.34147,6.50933,0.259198,0.150459,-3.63538,-0.149827,7.55647
3624,3.9486,6.46739,0.25501,0.16054,-3.42429,-0.586854,7.30883
3726,3.61133,6.388,0.247665,0.176389,-3.17329,-0.950645,7.06387
3838,3.2736,6.26079,0.233197,0.195657,-2.8422,-1.29905,6.78453
3948,2.98075,6.10114,0.22232,0.205987,-2.46951,-1.58103,6.5086
4051,2.74558,5.92668,0.211043,0.214519,-2.08697,-1.78499,6.24921
4163,2.53611,5.71697,0.198415,0.222088,-1.64514,-1.93591,5.97148
4265,2.38921,5.51482,0.186174,0.227794,-1.22956,-2.00636,5.72765
4370,2.2825,5.30276,0.174656,0.231778,-0.799172,-2.01099,5.49161
4481,2.21846,5.08214,0.163023,0.232238,-0.353034,-1.94157,5.26748
4585,2.20248,4.88605,0.146123,0.231015,0.0459902,-1.80941,5.089
4697,2.23004,4.69404,0.137316,0.228453,0.44381,-1.59878,4.93163
4810,2.30058,4.52801,0.130059,0.224461,0.800556,-1.32087,4.81992
4964,2.45545,4.35886,0.122499,0.216885,1.19632,-0.851726,4.7538
5067,2.58906,4.289,0.118523,0.210372,1.39322,-0.491282,4.76852
5178,2.75213,4.25701,0.115439,0.200138,1.53795,-0.0725959,4.83843
5301,2.94645,4.27734,0.116382,0.193114,1.61166,0.413968,4.96892
5414,3.12814,4.34931,0.12071,0.184233,1.59664,0.867964,5.13736
5527,3.30362,4.4723,0.123324,0.181267,1.50236,1.31499,5.34109
5629,3.44933,4.62588,0.129509,0.176032,1.35096,1.70165,5.55179
5732,3.57764,4.81971,0.137477,0.171444,1.13749,2.06609,5.78283
5845,3.68951,5.07339,0.15078,0.167967,0.838731,2.42528,6.04861
5958,3.76414,5.36472,0.169042,0.168638,0.480082,2.73159,6.31854
6081,3.79578,5.717,0.180867,0.170794,0.0327979,2.9941,6.62027
6193,3.7743,6.06171,0.185637,0.172111,-0.414479,3.16093,6.8968
6295,3.70986,6.3885,0.205244,0.182336,-0.844778,3.24821,7.12733
6408,3.58638,6.75679,0.217277,0.190812,-1.33525,3.26971,7.3799
6521,3.40727,7.12294,0.228244,0.200363,-1.82741,3.21078,7.61763
6623,3.19827,7.44405,0.238871,0.212857,-2.2621,3.08905,7.81334
6726,2.94316,7.75238,0.248187,0.228055,-2.68174,2.90226,7.9924
6838,2.61845,8.062,0.258783,0.25005,-3.10507,2.63049,8.16055
6961,2.21027,8.36237,0.267605,0.278621,-3.5174,2.25716,8.3139
7073,1.79782,8.59238,0.270531,0.29796,-3.83417,1.85798,8.43386
7186,1.3494,8.77637,0.270845,0.316731,-4.08821,1.40828,8.52812
7298,0.880651,8.90648,0.269901,0.336482,-4.26827,0.927211,8.59173
7400,0.439715,8.97691,0.265781,0.357028,-4.36601,0.468641,8.62164
7512,-0.0518047,8.99968,0.261404,0.377177,-4.39797,-0.045625,8.62819
7626,-0.551081,8.96367,0.253398,0.396217,-4.34869,-0.567651,8.60514
7728,-0.989325,8.88156,0.249971,0.403757,-4.23571,-1.02245,8.5679
7840,-1.45327,8.73924,0.233894,0.432984,-4.03977,-1.49682,8.47587
7953,-1.89501,8.54388,0.220983,0.449033,-3.77105,-1.93718,8.36683
8066,-2.30263,8.30148,0.200673,0.467458,-3.43823,-2.32805,8.22426
8178,-2.66635,8.02087,0.173261,0.484826,-3.05397,-2.657,8.05328
8290,-2.98445,7.70709,0.173261,0.484826,-2.62587,-2.91976,7.8824
8423,-3.29709,7.30218,0.138921,0.501491,-2.07624,-3.13745,7.61942
8536,-3.50387,6.94052,0.113922,0.507469,-1.5886,-3.23716,7.38055
8648,-3.65402,6.57542,0.103176,0.509613,-1.10027,-3.25669,7.13516
8759,-3.74917,6.2158,0.0860045,0.510182,-0.624109,-3.19852,6.87478
8873,-3.79294,5.85765,0.0697336,0.509323,-0.156213,-3.06097,6.59733
8986,-3.78548,5.52235,0.0486534,0.504398,0.273982,-2.85146,6.3151
9099,-3.73186,5.21458,0.0341932,0.498556,0.659178,-2.57574,6.03523
9212,-3.63774,4.94135,0.0148241,0.48731,0.989134,-2.24224,5.76018
9324,-3.51116,4.71049,0.00521874,0.479081,1.25306,-1.86455,5.50179
9426,-3.37331,4.53882,-0.00613398,0.4662,1.43298,-1.48901,5.28433
9570,-3.15427,4.36405,-0.0117273,0.457297,1.58165,-0.925673,5.01381
9682,-2.97454,4.2851,-0.0154707,0.448107,1.60872,-0.476036,4.84547
9784,-2.81181,4.25694,-0.0180321,0.43284,1.56546,-0.0697584,4.73593
9897,-2.64078,4.27339,-0.0178196,0.429187,1.44354,0.364662,4.65379
10009,-2.48902,4.33664,-0.0129866,0.415335,1.24957,0.766912,4.63761
10122,-2.36184,4.44393,-0.0129866,0.415335,0.98587,1.13231,4.66333
10235,-2.26797,4.58969,-0.00316605,0.406305,0.661522,1.44635,4.75711
10338,-2.21681,4.75071,0.000785358,0.40489,0.320962,1.67986,4.87893
10450,-2.2032,4.94964,0.011452,0.404231,-0.0881932,1.86959,5.05622
10553,-2.2326,5.14796,0.0237737,0.407336,-0.490556,1.98016,5.25022
10666,-2.31357,5.37458,0.0237737,0.407336,-0.949033,2.02725,5.48969
10779,-2.44675,5.602,0.0372671,0.417345,-1.41265,1.99476,5.749
10892,-2.63196,5.82123,0.0432148,0.424881,-1.86811,1.88286,6.02305
10996,-2.84699,6.00813,0.0484357,0.434404,-2.26883,1.71168,6.28091
11108,-3.12353,6.18565,0.0524607,0.445987,-2.66908,1.45825,6.55978
11230,-3.47289,6.34222,0.054413,0.459805,-3.05515,1.10782,6.85891
11344,-3.83858,6.44619,0.0546274,0.479393,-3.35758,0.71915,7.12459
11456,-4.22785,6.50241,0.0503932,0.502117,-3.59077,0.289739,7.36932
11567,-4.63557,6.50858,0.0483383,0.50875,-3.7525,-0.171522,7.61163
11678,-5.05713,6.46212,0.036851,0.533659,-3.8402,-0.656718,7.81634
11789,-5.48412,6.36104,0.0281995,0.549165,-3.8509,-1.15357,8.01022
11901,-5.9117,6.20311,0.0116602,0.568874,-3.78267,-1.65395,8.17501
12012,-6.32356,5.99196,0.00308345,0.576497,-3.63783,-2.13626,8.32788
12124,-6.71857,5.72602,-0.0113159,0.587982,-3.41695,-2.59675,8.44906
12235,-7.08172,5.41358,-0.0350924,0.602358,-3.12907,-3.01556,8.53246
12346,-7.40938,5.05727,-0.0649536,0.614236,-2.77943,-3.38636,8.58377
12457,-7.69515,4.66295,-0.0729915,0.616367,-2.37655,-3.69983,8.62972
12569,-7.93559,4.23347,-0.0926216,0.619793,-1.9261,-3.95007,8.63544
12681,-8.12362,3.78004,-0.125296,0.621509,-1.44282,-4.12771,8.59938
12794,-8.25715,3.3068,-0.14563,0.620542,-0.934367,-4.22895,8.54475
12907,-8.33266,2.82673,-0.165265,0.617142,-0.418039,-4.24952,8.461
13010,-8.35078,2.39091,-0.185288,0.611219,0.0482255,-4.19782,8.35718
13133,-8.31052,1.88253,-0.210262,0.60027,0.58525,-4.05023,8.20112
13245,-8.21812,1.43996,-0.227483,0.590347,1.04252,-3.8388,8.03568
13358,-8.07532,1.0214,-0.251724,0.570894,1.46119,-3.55732,7.83655
13480,-7.87152,0.609379,-0.264508,0.557667,1.85291,-3.18586,7.60719
13601,-7.62652,0.249161,-0.275184,0.543553,2.16869,-2.75994,7.35723
13714,-7.36743,-0.0382535,-0.286403,0.522872,2.39034,-2.32259,7.10322
13827,-7.08758,-0.274648,-0.29033,0.513094,2.53589,-1.85951,6.84274
13939,-6.79837,-0.456459,-0.296948,0.491865,2.60203,-1.38784,6.57023
14051,-6.50621,-0.585326,-0.298408,0.468369,2.58948,-0.9165,6.29659
14164,-6.21733,-0.662469,-0.297566,0.455043,2.49832,-0.454356,6.02432
14266,-5.96891,-0.688335,-0.296695,0.449814,2.35112,-0.0594119,5.78527
14379,-5.71497,-0.671817,-0.290434,0.43072,2.12108,0.342363,5.53545
14491,-5.49254,-0.613232,-0.285249,0.421113,1.83053,0.692896,5.30903
14603,-5.30577,-0.51851,-0.279901,0.412977,1.48646,0.986384,5.11146
14716,-5.15897,-0.393286,-0.270706,0.404942,1.09538,1.21658,4.95301
14828,-5.05901,-0.247492,-0.266272,0.402562,0.675647,1.37314,4.83662
14940,-5.00729,-0.0883799,-0.255649,0.399223,0.236162,1.45416,4.77659
15053,-5.00551,0.0769023,-0.244433,0.39987,-0.214324,1.4571,4.77202
15163,-5.05247,0.23386,-0.24185,0.400612,-0.647064,1.38385,4.81351
15265,-5.13781,0.368747,-0.236022,0.403631,-1.03262,1.25047,4.90191
15387,-5.28972,0.507623,-0.228904,0.412722,-1.4606,1.01257,5.06171
15499,-5.47273,0.605507,-0.225158,0.422482,-1.80972,0.725272,5.25076
15611,-5.69196,0.667879,-0.224439,0.426929,-2.10632,0.380018,5.47283
15713,-5.91776,0.68872,-0.225391,0.435768,-2.3232,0.0230539,5.69799
15826,-6.19015,0.667167,-0.228085,0.445353,-2.49734,-0.409689,5.96619
15939,-6.47798,0.595044,-0.234352,0.459089,-2.59651,-0.869992,6.24511
16050,-6.76736,0.472643,-0.241358,0.468376,-2.61742,-1.33663,6.52601
16162,-7.05729,0.296445,-0.250531,0.477071,-2.5602,-1.8092,6.80916
16273,-7.33399,0.0701087,-0.268436,0.488924,-2.42652,-2.26664,7.07795
16385,-7.59389,-0.208498,-0.273905,0.491456,-2.21671,-2.70462,7.35337
16498,-7.82818,-0.53734,-0.303745,0.500559,-1.93358,-3.11032,7.59568
16609,-8.02357,-0.90247,-0.313159,0.502334,-1.59224,-3.46247,7.83734
16722,-8.18031,-1.31116,-0.337138,0.502757,-1.18886,-3.76379,8.05019
16835,-8.28873,-1.75018,-0.355094,0.501824,-0.739229,-3.99892,8.24707
16947,-8.34402,-2.20749,-0.372783,0.498363,-0.259185,-4.16,8.41797
17059,-8.34418,-2.67856,-0.401764,0.487824,0.242998,-4.24472,8.55032
